,city,count,latitude,longitude
0,苏州,1069,31.3016935,120.5810725
1,杭州,726,30.2489634,120.2052342
2,泉州,626,24.8755492,118.6723605
3,嘉兴,581,30.7474425,120.7510971
4,广州,282,23.1301964,113.2592945
5,厦门,188,24.4801069,118.0853479
6,上海,185,31.2323437,121.4691024
7,合肥,157,31.8228094,117.2218033
8,北京,121,39.9057136,116.3912972
9,无锡,47,31.5776626,120.2952752
10,武汉,35,30.5951051,114.2999353
11,宁波,34,29.8622194,121.6203873
12,福州,26,26.0774954,119.2918215
13,淄博,24,36.819626,117.980675
14,九江,24,29.6653828,115.9474861
15,郑州,24,34.7487244,113.6191483
16,中山,22,22.5196895,113.3870834
17,沧州,21,25.9791098,117.9665497
18,南京,21,32.0615513,118.7915619
19,佛山,19,23.0239788,113.1159558
20,漳州,19,24.5164639,117.6424895
21,长沙,15,28.2491934,113.0748296
22,镇江,15,32.1891959,119.4200069
23,金华,15,29.1080344,119.6486487
24,潍坊,13,36.7071591,119.1557441
25,天津,13,39.1347222,117.2027778
26,揭阳,12,23.553156,116.3680354
27,常州,11,32.1585385,120.173934
28,济南,11,36.6507007,117.1140042
29,温州,10,27.9963899,120.695345
30,徐州,10,34.2665258,117.1810431
31,绍兴,10,29.9992425,120.576854
32,沈阳,10,41.8026095,123.4279105
33,连云港,8,34.5933134,119.2171662
34,湖州,8,30.8942995,120.0851114
35,石家庄,8,38.0429742,114.5088385
36,洛阳,8,34.6196539,112.4477046
37,南昌,8,28.687547,115.8540042
38,孝感,7,30.919414,113.9516901
39,西安,5,34.2607713,108.9423443
40,保定,5,38.8579735,115.490696
41,德州,4,37.4363704,116.3534091
42,惠州,3,23.1146515,114.4107202
43,东莞,3,23.0205969,113.7457788
44,信阳,3,37.8020871,117.6131809
45,莆田,3,25.4557366,119.0029034
46,清远,3,23.6832984,113.0505994
47,哈尔滨,3,45.7593633,126.6276177
48,邯郸,2,36.583333,114.483333
49,深圳,2,22.5445741,114.0545429
50,盐城,2,33.349559,120.1577019
51,南通,2,31.9827896,120.8904588
52,台州,2,28.6581723,121.4163876
53,珠海,2,22.273734,113.5721327
54,成都,2,30.6598628,104.0633717
55,廊坊,2,39.5302055,116.6926134
56,安庆,1,23.31,102.371
57,铁岭,1,42.2895233,123.8394899
58,贵港,1,22.3556504,111.732441
59,宿迁,1,33.9644701,118.2696994
60,青岛,1,36.0638034,120.3781372
61,扬州,1,32.3968554,119.4077658
62,宜昌,1,30.694088,111.2803074
63,六安,1,31.7383487,116.5142252
64,重庆,1,29.564160049999998,106.31388416257138
65,菏泽,1,35.2477266,115.4464761
66,鞍山,1,41.1075962,122.9902291
67,南宁,1,22.8193063,108.3627211
68,天门,1,30.6659683,113.1605599
69,赣州,1,25.8332103,114.9287362
70,泰州,1,32.4579729,119.9181174
71,池州,1,30.6671088,117.4859885
72,宜春,1,27.81697,114.4112498
