num,name,price,sales,shop_name,shop_link,product_link,image_link,shipping_insurance,free_shipping,province,city,sales_category,merged_sales_category,words
0,雅鹿正品男士加厚羽绒服中长款2023冬季新款中年冬装保暖外套,399,29,恒源祥皮衣工厂直营店,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=2076849887&k=1025&e=8y9R2%2BkvjOlvcrInqKd9L0aDna6rVGBJoN1pwupgv%2FOPYR2L6ALXr7JYH4DTA2mrGY0Cgou5BnAEuuDvWTVA0KVMk65JXLJEXqcUj0jRgdkB3QQcxl6A%2FrIpZ2WJKfOyFyXzd1eSkGegRaRa0ryZ0KMnRbaqoNG7JZrhvysD%2BL%2BVnNj%2Fu%2Ff0Jt6rf6%2FBlIe3%2F9e%2BUAGstNCKA5q%2B%2BqkLWvIJqY898DJCiBJi8qkYThQhpYTWVcqqyqOg4USD8WE7SqL%2FwMCjgXgUI3McaHP1%2BEDXOWZA%2FqLEh3IjUMvWL3N%2Fxzdn1U1Vhn9hbJQ4Ow%2FDXWvwmqBWgD%2Fs9RZiBZPquH3iUM4HkR6hEtQMydGGwwt6SlU%2F3zUNxJ7IGLG0COzwtITtg8DBCEgiPYNOIYHdsQ8tk2NBXNyoSKeOtEW2trWGEd6TcKcXQtwZJbsmduokIic40bI8O6NWa3%2F7Z24c6ccffJy1zE7rb5EsBwIVx6UN0%2BhZk7wIaba2Hw%2FmLfpIEQKaRJNWfb3AAiDukFcxfPtZSss%2FVfV4piK1hBnt%2Bgzk9Qx3lodC7Rt%2Bbvf9ooIYe338Jvi0XO1%2FoVSSGVW3cI3xViM7d01hRZAkLQuGPbPC4LHsKGyREICLQqClvUA739NtIpEG7jid0eKh16XVn5g7iR0ynosoANffK4NDKK02QMy61kBwqBxF1OB1WOwXFEBjsVUdYo6Vt8XBenAHzov8HvGHyrpbkSchxTXBxqa3heQxn07ZjGV2wUdQlAFTBgjKKcIg6ljR2CEapjwJBlzMGwCbUXaa6JKlDhcl6ieDGCPvG4Coa%2BpQwRPF%2Fgdg9H9d2GmGDxtVQJ1eaWcn4%2B8GFxsC%2FXjz7PUWYgWT6rg3oxrYgMGuLQ5CC%2F8YRqs3Gs2bzTR9cp%2BxjwOfhpPSFSqyaQKXNtuq1HouA5paSJuXcIKTB4EzjCnxiKsZXT8AVh27FnoAAi2HijVmqlFuTqqWQZuaq7hLnJBpNpa0IlrK3v%2FwOY%2BP1EYN64LCbpLE,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=2076849887&k=1057&e=u33ZAvZRkBBvcrInqKd9L0aDna6rVGBJoN1pwupgv%2FOPYR2L6ALXr7JYH4DTA2mrGY0Cgou5BnAuFCB3acs0kqVMk65JXLJEXqcUj0jRgdkB3QQcxl6A%2FrIpZ2WJKfOyFyXzd1eSkGegRaRa0ryZ0KMnRbaqoNG7JZrhvysD%2BL%2BVnNj%2Fu%2Ff0Jt6rf6%2FBlIe3%2F9e%2BUAGstNCKA5q%2B%2BqkLWvIJqY898DJCiBJi8qkYThQhpYTWVcqqyqOg4USD8WE7SqL%2FwMCjgXgUI3McaHP1%2BEDXOWZA%2FqLEh3IjUMvWL3N%2Fxzdn1U1Vhn9hbJQ4Ow%2FDXWvwmqBWgD%2Fs9RZiBZPquMsFjtE6cJN7QKm5Z2rYEOacYnIzGydUBYPdb6FEckVFjuVDaRLVkW2aZSkGRq90RgWsY4JfJXk9ndiKRad4WOltpdWVqKTjC9%2BIdTnKywhCCaUtntAbj98pZu5vY%2BGoUAzferUnLqm8lQ5Sz%2B5mZfSd4DfyY80Kib7TZsds9wluqadrRX17qDIjLPcQb9oSvbKAgdieHszrmMvca5ne3GRQKTLjDi4nY0ENDHpiAvbNcEuOCIaDWdKwcH6N0AT3YG1kWVFe1%2B%2FJVTDeNreoroJjF3b%2FnY9P9kHQvbmd0bES5JvErxzCH9PEwQlSH7MeRFeKN2maeUBgPqiybB2ZGtlV6Zh%2BJextzE70W%2FT1%2B3fQM4Waqnw8QGj9AQWF2t5S4Pu9w4YRbmmIuPbc1XFh5P7PikJ5fxhnam45AWTXI1h8gevF6rnU3QsViGxreRWpBwKutA8S05giqbRm62KSHTBCBj5NAdllV2V%2FR6J0Aq1XaF0c8jFqee567uRvQao%2BUYTOcqQvJxmmNWTT%2B7As7ZeqmTW8evp2N6hmQGb8ZRldg8VxnyTSm8opat3eiS36A5TCiDvEXqKCYMPN4Uk%2BatrJx570lbURzMu%2FyerfppObKiReBBb7%2FHa1Q7U4Zcnh4oz2Sb1r6YvX6%2BsU54xff9KDY9CMxDJPR8L06v%2FbPX042Jac1MH33BhlM3OYkW7rvdRqrmlXe7rE#detail,https://img.alicdn.com/imgextra/i4/58023241/O1CN01Pph0lu1ZoQXu5FxfU_!!0-saturn_solar.jpg_460x460q90.jpg_.webp,TRUE,TRUE,上海,上海,<100,small,"['雅鹿', '正品', '男士', '加厚', '羽绒服', '中长款', '2023', '冬季', '新款', '中年', '冬装', '保暖', '外套']"
1,MOOSE KNUCKLES 3Q JKT 大毛领保暖运动羽绒服夹克男,11800,2,MOOSE KNUCKLES官方旗舰店,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=2076849887&k=993&e=1M4Hg%2BLjViVvcrInqKd9L0aDna6rVGBJoN1pwupgv%2FOPYR2L6ALXr7JYH4DTA2mr%2F%2BfWDobrzdThGxAjlhoYc%2FOgBYcjb3M1XqcUj0jRgdkB3QQcxl6A%2FrIpZ2WJKfOyFyXzd1eSkGegRaRa0ryZ0KMnRbaqoNG7JZrhvysD%2BL%2BVnNj%2Fu%2Ff0Jt6rf6%2FBlIe3%2F9e%2BUAGstNCKA5q%2B%2BqkLWvIJqY898DJCiBJi8qkYThQhpYTWVcqqyqOg4USD8WE7QLMAeRFUucOiJ5HInm26Y2ATiJuhpmMfmJ6VNNfLB5ECwHGc2PS4EPbDhgizzvg7ZPq1hLAU3LMN7H17h1H0q6o4Mi7rSy6hQKm5Z2rYEOaLlHw8HL2sU1Ool70mVvfqfSkzqQKcU17JhVFudo%2FKasxtL6D3KhCwxUE1%2B41sPP0Jtp93HhbvBGigwVtEqO1m8DZ1tpME6jDINLL5Mf0ay2CbEVzcZobV5sVH1a0C3anauiOgjTwvHvkcj%2FciIptooieRyJ5tumNcDB2H10BFTtcg2FWL%2BgiYnhkiWfvCysgyfSmVzxfPIXCS80lPXOoOW%2BM4LLAADDM%2F9DyTXdX4Hc%2FczJmD8Q6dSGgmV4rvz2UyvYTPhhKgVJ1ZfTtbdjZic79mmkNhvh%2B%2B%2FbQbO9SSRmYorJFSbCuUFjyujaL4Vft5kxap4QM3pPvgHBmOdZPtV4SxDJSIsFXwgPsh3Tx6qoUu077oMR2VtwuYrf1aOAIe1%2FYuO82pSYP8mCz1xq577%2BrpgAhG9VOyZJMo49X7DryefQbbnGZXlMk%2FeTRj2LGiFtUqwgEzvKfP%2FN%2FVrS9xNScUe9IEc%2BDJ1LmKnSETK5nkajUaycqOpEqLl5TTlAEpRhLZJqqECMomvupvFXlu5SvTAJkkpLzhj4RCuR4V0EId9mUUHJl7LzFZ4WYx%2Bq2dyGhOvZKsrJoPk9G%2Fm6eN9ro3CHw7tmIpwDbH0qTP%2FUOi5%2BDPMuUY,https://click.simba.taobao.com/cc_im?p=%D3%F0%C8%DE%B7%FE&s=2076849887&k=1025&e=x6w3k3XcaP9vcrInqKd9L0aDna6rVGBJoN1pwupgv%2FOPYR2L6ALXr7JYH4DTA2mr%2F%2BfWDobrzdTyaR1C4C9E0%2FOgBYcjb3M1XqcUj0jRgdkB3QQcxl6A%2FrIpZ2WJKfOyFyXzd1eSkGegRaRa0ryZ0KMnRbaqoNG7JZrhvysD%2BL%2BVnNj%2Fu%2Ff0Jt6rf6%2FBlIe3%2F9e%2BUAGstNCKA5q%2B%2BqkLWvIJqY898DJCiBJi8qkYThQhpYTWVcqqyqOg4USD8WE7QLMAeRFUucOiJ5HInm26Y2ATiJuhpmMfmJ6VNNfLB5ECwHGc2PS4EPbDhgizzvg7ZPq1hLAU3LMN7H17h1H0qxAEgUXVnqqO2lrzk4vIs%2Fcu42mzL0Q9IzuPEs6JWzbBjuVDaRLVkW2aZSkGRq90RnW9p21DIJHaM88MuwxNJL5ZSAo1%2BbvzLUqLvxjm5dG6FZi8Cjhky19cyU2ibG%2FhFKrYid6amMYHSheR2VsTpq2QnGc8TzMZ9Nq6I6CNPC8e175ZGmrUNWlvEz7Ik0eQQggP0kbCX4v4nZSy7bY11YWYIWhrLSdLyyeG47Xrf1bQ4hm4UEix0OvGfppwJdUtaStpJlP6clNTRTSNgvTY33XsScoyOjrQ7ZjtjcqvGhYqIPa1HXUe%2FZrazlS2zCwpM4n%2BpdIitWoCvrQAzUwb5Ju6z2j7J%2B%2BsMQ22ue18mwlNkBxSxbKZCLxTJX9pZpRK25doxilDWwjhuCw%2BT2VVl5u7vZDZjDLKHqQTvz71Oro8sqgZxtg%2BSapZKBAT0mA5j7bskGglk7KlAG0xjV92Es%2FX7tcgaMyKEDtbFUKa%2FSdbaF0c8jFqee6uewokYDbwBDIdhX967rU%2FASVYlkjmg4ajOIhC16DGuZcvqP2Ix4%2FNbkI1OdETinjs6IVJ%2FR7JphHzfgyNjVDCYMPN4Uk%2BatrJx570lbURzDsiiRzt1CznKnqbuj9DNPdmDXhNOwnIp%2FMXUIU%2B4Afjqj4nNNFNny%2BpC0JBQm2aXIS1WlfAqc8A,https://img.alicdn.com/imgextra/i2/219310104/O1CN0141ihFX1Cdg5WWRkAY_!!0-saturn_solar.jpg_460x460q90.jpg_.webp,FALSE,TRUE,上海,上海,<100,small,"['MOOSE', ' ', 'KNUCKLES', ' ', '3Q', ' ', 'JKT', ' ', '大', '毛领', '保暖', '运动', '羽绒服', '夹克', '男']"
2,中长款连帽男士羽绒服冬季2023新款潮牌加厚90白鸭绒男生冬装外套,249,99,VUUG旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVxi8aUPAMJjwWkCGNHEzkVSuFKoZQRLNkrswdiRYmMrK,https://detail.tmall.com/item.htm?id=741999329317&ns=1&abbucket=11,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/3055237276/O1CN01lc8QR823cSeqHUirx_!!0-item_pic.jpg_460x460q90.jpg_.webp,FALSE,TRUE,福建,泉州,<100,small,"['中长款', '连帽', '男士', '羽绒服', '冬季', '2023', '新款', '潮牌', '加厚', '90', '白', '鸭绒', '男生', '冬装', '外套']"
3,羽绒服男士冬季2023新款美式潮牌立领工装白鸭绒情侣加厚保暖外套,209,93,antin soul studios旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWtSdKDH9FvFwtEfHoRBDUdo7dEpL5CXXQLsp6eK98mch,https://detail.tmall.com/item.htm?id=745909583131&ns=1&abbucket=11,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2211499841588/O1CN0162vwpG1NbLqVMKBLT_!!0-item_pic.jpg_460x460q90.jpg_.webp,FALSE,TRUE,福建,泉州,<100,small,"['羽绒服', '男士', '冬季', '2023', '新款', '美式', '潮牌', '立领', '工装', '白', '鸭绒', '情侣', '加厚', '保暖', '外套']"
4,森马集团棉致白鸭绒羽绒服男冬季2023新款轻薄加厚短款青少年外套,275,100+,森马旗下棉致臻选店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMom5nf4uVCuojhSE4pXSRsif2g1WUdTxUZrM4Y9LBLty,https://item.taobao.com/item.htm?id=743523349457&ns=1&abbucket=11#detail,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1664366851/O1CN0111PCrm20ToKnPvRWQ_!!0-item_pic.jpg_460x460q90.jpg_.webp,FALSE,TRUE,浙江,杭州,100+,mid,"['森马', '集团', '棉致', '白', '鸭绒', '羽绒服', '男', '冬季', '2023', '新款', '轻薄', '加厚', '短款', '青少年', '外套']"
5,贵人鸟羽绒服男冬季鹅绒内胆三合一冲锋衣男加厚外套情侣鹅绒女,329,400+,贵人鸟服饰旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWM8N5dLmx34AZCS7HwrXkFky39xpwovZxhwC7ZrS9JHJG,https://detail.tmall.com/item.htm?id=746663445255&ns=1&abbucket=11,https://picasso.alicdn.com/imgextra/O1CNA1UtDTw11y1kqvm4pUY_!!2214480606519-0-psf.jpg_460x460q90.jpg_.webp,TRUE,TRUE,福建,泉州,400+,mid,"['贵人', '鸟', '羽绒服', '男', '冬季', '鹅绒', '内胆', '三合一', '冲锋衣', '男', '加厚', '外套', '情侣', '鹅绒', '女']"
6,罗蒙羽绒服男士轻薄连帽防寒上衣秋冬季新款休闲鸭绒保暖外套男装,319,50,罗蒙鞋类旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWK1KG4Zz6xS7brnwwxZUxW89zwSfBd7Nv577yLhkmvuSN,https://detail.tmall.com/item.htm?id=740009742445&ns=1&abbucket=11,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2200812713864/O1CN01RPfmMS1ePlHMOZBuU_!!0-item_pic.jpg_460x460q90.jpg_.webp,TRUE,TRUE,广东,广州,<100,small,"['罗蒙', '羽绒服', '男士', '轻薄', '连帽', '防寒', '上衣', '秋冬季', '新款', '休闲', '鸭绒', '保暖', '外套', '男装']"
7,奇 阿玛尼亚羽绒服男士立领冬季新款休闲韩版保暖白鸭绒外套男潮,119,300+,奇阿玛尼亚万达折扣店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXRSnFekC91RvFM4GTUkCJAM8WZmxMRMaTheoyuGWMT8E,https://item.taobao.com/item.htm?id=736077619524&ns=1&abbucket=11#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2212998816636/O1CN01yoZWey1ytLABZjqyv_!!2212998816636.jpg_460x460q90.jpg_.webp,TRUE,TRUE,浙江,嘉兴,300+,mid,"['奇', ' ', '阿玛尼', '亚', '羽绒服', '男士', '立领', '冬季', '新款', '休闲', '韩版', '保暖', '白', '鸭绒', '外套', '男潮']"
8,雪中飞羽绒服男2023新款连帽短款加厚冬装上衣本命年红色冬季外套,329,900+,雪中飞凯登博专卖店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTDipsnVbFRyHLP94h5DCxH4yrfr38CDKhU1BvRvGxEXC,https://detail.tmall.com/item.htm?id=683037355298&ns=1&abbucket=11,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2209604408330/O1CN01L0khRi2BPC7ImTCzV_!!2209604408330.jpg_460x460q90.jpg_.webp,TRUE,TRUE,江苏,苏州,900+,mid,"['雪中飞', '羽绒服', '男', '2023', '新款', '连帽', '短款', '加厚', '冬装', '上衣', '本命年', '红色', '冬季', '外套']"
9,雪中飞男士羽绒服短款2023新款冬季可脱卸连帽白鸭绒保暖冬装外套,399,14,雪中飞凯登博专卖店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTDipsnVbFRyHLP94h5DCxH4yrfr38CDKhU1BvRvGxEXC,https://detail.tmall.com/item.htm?id=742330582215&ns=1&abbucket=11,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2209604408330/O1CN01QcNxA42BPC7GlhRAm_!!2209604408330.jpg_460x460q90.jpg_.webp,TRUE,TRUE,江苏,苏州,<100,small,"['雪中飞', '男士', '羽绒服', '短款', '2023', '新款', '冬季', '脱卸', '连帽白', '鸭绒', '保暖', '冬装', '外套']"
